Year,Home_Team,Away_Team,elo_H,elo_A
2011,DEN,LAC,1375.282,1566.716
2011,MIN,ARI,1425.755,1382.099
2011,BUF,PHI,1504.759,1515.698
2011,ATL,GB,1564.327,1705.555
2011,DET,CHI,1540.368,1543.592
2011,DET,SF,1560.286,1535.083
2011,ATL,CAR,1545.496,1373.475
2011,CHI,MIN,1523.675,1447.137
2011,GB,LAR,1724.385,1344.253
2011,CIN,IND,1485.345,1447.208
2011,NE,DAL,1689.203,1505.54
2011,NYG,BUF,1523.929,1521.922
2011,PIT,JAX,1603.887,1399.344
2011,OAK,CLE,1536.951,1425.258
2011,BAL,HOU,1641.285,1522.957
2011,TB,NO,1504.095,1617.392
2011,WAS,PHI,1481.976,1498.535
2011,NYJ,MIA,1564.131,1418.792
2011,NYJ,LAC,1576.47,1577.753
2011,MIN,GB,1427.523,1728.067
2011,NO,IND,1594.748,1430.909
2011,TEN,HOU,1516.966,1509.741
2011,OAK,KC,1547.175,1437.589
2011,DAL,LAR,1499.962,1340.572
2011,DET,ATL,1534.842,1555.447
2011,CHI,TB,1543.288,1526.739
2011,ARI,PIT,1360.717,1608.901
2011,CLE,SEA,1415.034,1453.651
2011,CAR,WAS,1363.524,1457.768
2011,MIA,DEN,1406.453,1364.245
2011,JAX,BAL,1394.33,1654.501
2011,NYG,MIA,1534.819,1387.521
2011,TEN,IND,1472.673,1415.503
2011,PHI,DAL,1522.743,1512.999
2011,LAR,NO,1327.535,1610.154
2011,SF,CLE,1560.527,1427.695
2011,BUF,WAS,1511.032,1428.776
2011,CAR,MIN,1392.516,1420.32
2011,DEN,DET,1383.178,1510.922
2011,SEA,CIN,1440.991,1501.643
2011,HOU,JAX,1554.035,1424.005
2011,BAL,ARI,1624.826,1348.482
2011,PIT,NE,1621.136,1694.781
2011,KC,LAC,1491.139,1562.271
2011,ARI,LAR,1345.531,1368.93
2011,WAS,SF,1410.909,1571.199
2011,OAK,DEN,1493.626,1354.561
2011,PIT,BAL,1643.744,1627.777
2011,TEN,CIN,1490.805,1533.453
2011,NE,NYG,1672.174,1540.574
2011,NO,TB,1568.759,1508.344
2011,KC,MIA,1505.286,1381.767
2011,HOU,CLE,1564.85,1417.023
2011,DAL,SEA,1487.6,1409.181
2011,IND,ATL,1397.371,1579.367
2011,BUF,NYJ,1528.899,1591.951
